id,titulo,nivel_cefr,conteo_palabras,dificultad_lexica,tiempo_lectura_est_min,categoria
1,My Daily Morning Routine,A1,105,1.5,1.2,Cotidiano
2,A Visit to the Local Supermarket,A1,92,1.3,1.0,Cotidiano
3,My Family and Our Pets,A1,118,1.7,1.3,Estilo de Vida
4,Ordering Food at a Cafe,A1,88,1.2,0.9,Cotidiano
5,A Weekend in the Park,A1,125,1.8,1.4,Estilo de Vida
6,My Favorite School Subjects,A1,110,1.6,1.2,Cultura
7,The Seasons in My City,A1,130,2.0,1.5,Ciencia
8,Buying New Clothes,A1,98,1.4,1.1,Cotidiano
9,A Simple Pancake Recipe,A1,115,1.7,1.3,Cotidiano
10,My House and My Room,A1,140,2.1,1.6,Estilo de Vida
11,A Trip to the Beach with Friends,A2,175,2.4,2.0,Estilo de Vida
12,How to Prepare for a Job Interview,A2,210,2.9,2.5,Negocios
13,The History of Bicycles,A2,195,2.7,2.3,Cultura
14,Healthy Eating Habits for Students,A2,185,2.6,2.1,Estilo de Vida
15,Planning a Birthday Party,A2,160,2.3,1.8,Cotidiano
16,Living in a Big City vs Small Town,A2,230,3.1,2.8,Cultura
17,Basic Computer Skills for Beginners,A2,205,2.8,2.4,Tecnología
18,The Importance of Recycling Waste,A2,220,3.0,2.6,Ciencia
19,Traveling by Train Across Europe,A2,190,2.6,2.2,Estilo de Vida
20,Popular Sports Around the World,A2,240,3.2,2.9,Cultura
21,The Impact of Social Media on Youth,B1,310,3.6,3.5,Tecnología
22,Renewable Energy Solutions,B1,345,3.9,4.0,Ciencia
23,The Evolution of Mobile Phones,B1,290,3.4,3.3,Tecnología
24,Global Cultural Festivals,B1,360,4.0,4.2,Cultura
25,Understanding Climate Change Effects,B1,375,4.1,4.4,Ciencia
26,Remote Work and Digital Nomads,B1,325,3.7,3.7,Negocios
27,The Science of Sleep and Health,B1,280,3.5,3.2,Ciencia
28,Effective Communication Strategies,B1,335,3.8,3.9,Negocios
29,History of Space Exploration,B1,350,4.0,4.1,Tecnología
30,Sustainable Agriculture Methods,B1,300,3.6,3.4,Ciencia
31,Artificial Intelligence in Healthcare,B2,460,4.6,5.3,Tecnología
32,Ethical Dilemmas of Modern Technology,B2,490,4.8,5.7,Tecnología
33,Economic Impact of Global Trade,B2,430,4.4,5.0,Negocios
34,Neuroscience of Learning and Memory,B2,510,4.9,6.0,Ciencia
35,The Architecture of Smart Cities,B2,475,4.7,5.5,Tecnología
36,Psychology of Human Behavior,B2,440,4.5,5.1,Ciencia
37,Financial Markets and Investments,B2,485,4.8,5.6,Negocios
38,Deep Sea Biodiversity and Ecology,B2,425,4.3,4.9,Ciencia
39,The Role of Philosophy in Modern Ethics,B2,520,5.0,6.1,Cultura
40,Quantum Computing Fundamentals,B2,500,4.9,5.8,Tecnología
